Title,Application_date,Place_of_work,Company,Url,Description,Date_of_announcement,Region,Site
Vodovodar - vodoinštalater (m/ž),28.02.2021,Gornja Radgona,"INŠTALATERSTVO, Anton Kaučič, s.p.",https://www.deloglasnik.si/Zaposlitev/280140/Vodovodar-vodoinstalater-mz/,"  Vsa strojna inštalacija, vodovod, centralna napeljava...",19.02.2021,Pomurska,deloglasnik.si
Prevzemnik blaga (m/ž),28.02.2021,Radenci,Spar Slovenija d.o.o.,https://www.deloglasnik.si/Zaposlitev/280013/Prevzemnik-blaga-mz/,  Za delo v novi trgovini Spar Radenci iščemo:   Prevzemnika blaga (m/ž).  Opis del in nalog: - sprejem blaga v skladišče - dostava blaga v skladiščne prostore trgovine - vnos vseh dobavnic v računalnik  - javljanje morebitnih napak pri dobavah in...,17.02.2021,Pomurska,deloglasnik.si
Prodajalec na oddelku kruha in delikatese (m/ž),28.02.2021,Radenci,Spar Slovenija d.o.o.,https://www.deloglasnik.si/Zaposlitev/280012/Prodajalec-na-oddelku-kruha-in-delikatese-mz/,"  Za delo v novi trgovini Spar Radenci iščemo:   Prodajalca na oddelku kruha in delikatese (m/ž).  Vaše naloge bodo: - strežba kupcev za pultom - priprava delikates, kruha in pekovskih izdelkov za prodajo - naročanje blaga - skrb za ustrezen izgle...",17.02.2021,Pomurska,deloglasnik.si
Čistilec / Čistilka / Sobar / Sobarica,17.03.2021,Ljutomer,"SEGRAP RUDARSTVO, PROIZVODNJA IN GRADBENIŠTVO D.O.O.",https://www.deloglasnik.si/Zaposlitev/279848/Cistilec-Cistilka-Sobar-Sobarica/,"  - čiščenje in pospravljanje ter urejanje hotelskih sob, hodnikov, konferenčnih dvoran, poslovnih prostorov, sanitarij in drugih skupnih prostorov,  - čiščenje in vzdrževanje čistoče v garderobah - čiščenje in vzdrževanje čistoče pri tuših - čišč...",15.02.2021,Pomurska,deloglasnik.si
Natakar (m/ž),17.03.2021,Ljutomer,"SEGRAP RUDARSTVO, PROIZVODNJA IN GRADBENIŠTVO D.O.O.",https://www.deloglasnik.si/Zaposlitev/279849/Natakar-mz/,  - pozdravljanje strank ter vročanje jedilnih listov in cenikov pijače - svetovanje pri izbiri pijače - postrežba gostov s hrano in pijačo - obračunavanje storitev in odvajanje plačilnih sredstev  Število delovnih mest: 2,15.02.2021,Pomurska,deloglasnik.si
Kuhar (m/ž),17.03.2021,Ljutomer,"SEGRAP RUDARSTVO, PROIZVODNJA IN GRADBENIŠTVO D.O.O.",https://www.deloglasnik.si/Zaposlitev/279850/Kuhar-mz/,"  - priprava vseh vrst jedi (toplih in hladnih) po predpisanih, normativih - skrb za racionalno zalogo - neoporečnost in skladiščenje živil ter optimalno izbiro živil - pravilno skladiščenje in shranjevanje gotovih jedi/skrb za kvaliteto in videz ...",15.02.2021,Pomurska,deloglasnik.si
Animator (m/ž),17.03.2021,Ljutomer,"SEGRAP RUDARSTVO, PROIZVODNJA IN GRADBENIŠTVO D.O.O.",https://www.deloglasnik.si/Zaposlitev/279851/Animator-mz/,"  - priprava, izvedba dnevne, tedenske,mesečne športne animacije za goste hotela, termalnega parka in goste glampinga - spremstvo na izlete slovenskih in tujih turistov - organiziranje prireditev - skrb za urejenost animacijskega pulta in informac...",15.02.2021,Pomurska,deloglasnik.si
Reševalec iz vode (m/ž),17.03.2021,Ljutomer,"SEGRAP RUDARSTVO, PROIZVODNJA IN GRADBENIŠTVO D.O.O.",https://www.deloglasnik.si/Zaposlitev/279852/Resevalec-iz-vode-mz/,"  - pripravljenost na potrebno reševanje ljudi iz vode - vzdrževanje kopališkega reda - odgovoren odnos do dela in zavedanje odgovornosti, ki jo ima reševalec na delovnem mestu itd.  Število delovnih mest: 2",15.02.2021,Pomurska,deloglasnik.si
Pomočnik kuharja (m/ž),17.03.2021,Ljutomer,"SEGRAP RUDARSTVO, PROIZVODNJA IN GRADBENIŠTVO D.O.O.",https://www.deloglasnik.si/Zaposlitev/279853/Pomocnik-kuharja-mz/,  - pomoč pri enostavnejših kuharskih delih - priprava živil za vse vrste jedi - priprava preprostih jedi po navodilu kuharja...  Število delovnih mest: 4,15.02.2021,Pomurska,deloglasnik.si
Maser - pediker (m/ž),17.03.2021,Ljutomer,"SEGRAP RUDARSTVO, PROIZVODNJA IN GRADBENIŠTVO D.O.O.",https://www.deloglasnik.si/Zaposlitev/279854/Maser-pediker-mz/,  - izvajanje programov masaž in drugih sprostitvenih programov - izvajanje pedikure in manikure - izvajanje nege obraza in telesa - oblikovanje novih produktov - organiziranje in nadzorovanje postopkov v savnah - spremljanje strokovne literature ...,15.02.2021,Pomurska,deloglasnik.si
Razvojni inženir za področje elektronike (m/ž),06.03.2021,Murska Sobota,MEDICOP - specialna oprema d.o.o.,https://www.deloglasnik.si/Zaposlitev/279907/Razvojni-inzenir-za-podrocje-elektronike-mz/,"  - načrtovanje elektronskih sklopov - skrb za izdelek med zasnovo, oblikovanjem, optimizacijo in potrjevanjem - sodelovanje z proizvajalci in zunanjimi partnerji - testiranje in priprava projektov za certificiranje - izdelava projektne dokumentac...",16.02.2021,Pomurska,deloglasnik.si
Pomožni delavec v gradbeništvu (m/ž),21.03.2021,Lendava,"EKOING GRADBENI INŽENIRING, d.o.o.",https://www.deloglasnik.si/Zaposlitev/280079/Pomozni-delavec-v-gradbenistvu-mz/,  Pomožna dela v gradbeništvu.,18.02.2021,Pomurska,deloglasnik.si
Zidar (m/ž),21.03.2021,Lendava,"EKOING GRADBENI INŽENIRING, d.o.o.",https://www.deloglasnik.si/Zaposlitev/280078/Zidar-mz/,  Vsa dela zidarja.,18.02.2021,Pomurska,deloglasnik.si
Tesar (m/ž),21.03.2021,Lendava,"EKOING GRADBENI INŽENIRING, d.o.o.",https://www.deloglasnik.si/Zaposlitev/280077/Tesar-mz/,  Vsa dela tesarja.,18.02.2021,Pomurska,deloglasnik.si
Skupinovodja zidarjev (m/ž),21.03.2021,Lendava,"EKOING GRADBENI INŽENIRING, d.o.o.",https://www.deloglasnik.si/Zaposlitev/280076/Skupinovodja-zidarjev-mz/,  Išče se kandidat/ka za delovno mesto:  Skupinovodja zidarjev (m/ž).,18.02.2021,Pomurska,deloglasnik.si
Osebni asistent (m/ž),03.03.2021,Lendava,Pravica - zavod za izvajanje osebne asistence in drugih socialnih storitev Turnišče so. p.,https://www.deloglasnik.si/Zaposlitev/279925/Osebni-asistent-mz/,  Išče se kandidat/ka za delovno mesto:  Osebni asistent (m/ž).,16.02.2021,Pomurska,deloglasnik.si
Skladiščnik - viličarist (m/ž),13.03.2021,Ljutomer,Trenkwalder d.o.o.,https://www.deloglasnik.si/Zaposlitev/279696/Skladiscnik-vilicarist-mz/,"  Vas veseli delo v skladišču? Bi želeli postati del uspešnega mednarodnega podjetja, ki svojo dejavnost še dodatno širi? Vodilni proizvajalec kmetijske in okoljske tehnike išče nove sodelavce, ki imajo izkušnje z delom v skladišču.  Vaše naloge: ...",11.02.2021,Pomurska,deloglasnik.si
CNC operater (m/ž),13.03.2021,Ljutomer,Trenkwalder d.o.o.,https://www.deloglasnik.si/Zaposlitev/279694/CNC-operater-mz/,"  Bi si želeli zaposlitve v okolju s sodobno tehnološko opremo in urejenimi proizvodnimi prostori? Vodilni proizvajalec kmetijske in okoljske tehnike išče nove sodelavce, ki imajo izkušnje z izvajanjem raznih delovnih operacij na strojih v proizvo...",11.02.2021,Pomurska,deloglasnik.si
Oblikovalec kovin (m/ž),13.03.2021,Ljutomer,Trenkwalder d.o.o.,https://www.deloglasnik.si/Zaposlitev/279691/Oblikovalec-kovin-mz/,"  - izvajanje raznovrstnih del na delovnih strojih v proizvodnem procesu (struženje, vrtanje, rezkanje, brušenje, žaganje, upogibanje, stiskanje) - izdelava proizvodnih nalogov - sprejem in pregled delovne dokumentacije - dvig potrebnega orodja in...",11.02.2021,Pomurska,deloglasnik.si
Trezorec – varnostnik (m/ž),26.02.2021,"Ljubljana, Velenje, Murska Sobota",NLB d.d.,https://www.deloglasnik.si/Zaposlitev/278343/Trezorec-varnostnik-mz/,"  Išče se trezorec - varnostnik (m/ž) v organizacijski enoti Prevoz vrednosti in gotovine.  Opis dela: - varovanje pri prevzemu, prevozu in oddaji gotovine in vrednostnih pošiljk - zavarovanje oseb in premoženja med prevozi - organiziranje in kont...",13.01.2021,Pomurska,deloglasnik.si
Vzdrževalec / nastavljalec (m/ž),21.03.2021,Murska Sobota,MINIPLAST d.o.o.,https://www.deloglasnik.si/Zaposlitev/280071/Vzdrzevalec-nastavljalec-mz/,  - nastavljanje strojev - spremljanje delovanja stroja - izvajanje vzdrževalnih del na strojih in napravah - izvajanje nastavitev in menjava strojnih delov ter komponent - odpravljanje napak na opremi in sistemih - sodelovanje pri prevzemu in mon...,18.02.2021,Pomurska,deloglasnik.si
Vzdrževalec (m/ž),17.03.2021,Ljutomer,"SEGRAP RUDARSTVO, PROIZVODNJA IN GRADBENIŠTVO D.O.O.",https://www.deloglasnik.si/Zaposlitev/279922/Vzdrzevalec-mz/,  - tehnična in vzdrževalna dela - gradbeno-vzdrževalna dela...  Število delovnih mest: 2  Delo bo potekalo v Biotermah Mala Nedelja in v gramoznici Krapje.,16.02.2021,Pomurska,deloglasnik.si
