Title,Application_date,Place_of_work,Company,Url,Description,Date_of_announcement,Region,Site
ASFLATER - RAVNAČ - M/Ž,03. 02. 2021,KRANJ,"GARNOL, INŽENIRING, GRADNJE IN KADRI, D.O.O.",https://www.iskanjedela.si/search-jobs?jobId=2636529&STATE=Gorenjska,"IZVAJA VSA DELA, KI SO POTREBNA ZA ASFALTIRANJE NA GRADBIŠČU, IZVAJA NALOGE GRADBENEGA DELAVCA IN IZVAJA VSA GRADBENA DELA NA GRADBIŠČU, PRIPRAVLJA MATERIAL IN PRIPOMOČKE, IZVAJA DRUGA FIZIČNA DELA, TER IZVAJA DELA SKLADNO Z NAVODILI, SPREJETIMI S...",26.01.2021,Gorenjska,iskanjedela.si
DELAVEC PO NORMI - M/Ž,03. 02. 2021,JESENICE,"SUMIDA SLOVENIJA, podjetje za proizvodnjo električne in elektronske opreme za motorna vozila, d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2636529&STATE=Gorenjska,"-IZVAJANJE DEL NA VSEH STROJNIH SKUPINAH V SKLADU S PREDPISANIMI NAVODILI IN POSTOPKI IN V SKLADU Z ZAHTEVAMI KAKOVOSTI, -SKRB ZA RED IN ČISTOČO DELOVNEGA MESTA IN OKOLICE, -SPROTNO VODENJE ZAHTEVANE EVIDENCE, -DRUGE NALOGE IN OPRAVILA PO NALOGU N...",26.01.2021,Gorenjska,iskanjedela.si
POMOČ V PROIZVODNJI PRI OBDELAVI KOVIN. - M/Ž,25. 02. 2021,KRANJ,"PETAL PEČNIK, proizvodnja in prodaja kovinskih izdelkov, d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2648094&STATE=Gorenjska,"PRIPRAVA IZDELKOV NA BARVANJE KAR ZAJEMA BRUŠENJE, ZAŠČITO NAVOJEV IN RAZIGLAVANJE KOSOV. ",26.01.2021,Gorenjska,iskanjedela.si
GRADBENI DELAVEC ZA NIZKE GRADNJE - M/Ž,25. 02. 2021,KRANJ,"DOSANIL, gradbene storitve d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2648397&STATE=Gorenjska,GRADBENA DELA-NIZKE GRADNJE ,26.01.2021,Gorenjska,iskanjedela.si
ZDRAVSTVENI ADMINISTRATOR V (III) SPECIALISTIČNE AMBULANTE - M/Ž,03. 02. 2021,JESENICE,SPLOŠNA BOLNIŠNICA JESENICE,https://www.iskanjedela.si/search-jobs?jobId=2648334&STATE=Gorenjska,DELOVNE NALOGE SO SPREJEM TER VPIS PACIENTOV PODAJANJE SPLOŠNIH INFORMACIJ IN USMERJANJE PACIENTOV UREJANJE DOKUMENTACIJE ZA PACIENTE OBRAČUN STORITEV PISANJE IZVIDOV TER IZVAJANJE OSTALIH ADMINISTRATIVNIH DEL. ,26.01.2021,Gorenjska,iskanjedela.si
DELAVEC V PROIZVODNJI VV - M/Ž,05. 02. 2021,JESENICE,SIJ ACRONI podjetje za proizvodnjo jekla in jeklenih izdelkov d.o.o.,https://www.iskanjedela.si/search-jobs?jobId=2640997&STATE=Gorenjska,"POSLUŽEVANJE ŽERJAVA ZA OPRAVLJANJE RAZNIH NALOG, UPRAVLJANJE HLADNEGA NAVIJALCA Z VSEMI PRIPADAJOČIMI AKTIVNOSTMI, KI SO POTREBNI ZA NEMOTENO DELO SKLADNO Z NAVODILI ZA DELO, OPRAVLJANJE DEL V ZVEZI Z ODPREMO PLOŠČ Z VSEMI PRIPADAJOČIMI AKTIVNOST...",26.01.2021,Gorenjska,iskanjedela.si
NATAKAR - M/Ž,15. 02. 2021,ŠKOFJA LOKA,"PETERNEL IN PETERNEL, GOSTINSTVO IN STORITVE, D.O.O.",https://www.iskanjedela.si/search-jobs?jobId=2648376&STATE=Gorenjska,STREŽBA HRANE IN PIJAČE ,26.01.2021,Gorenjska,iskanjedela.si
KUHAR - M/Ž,15. 02. 2021,ŠKOFJA LOKA,"PETERNEL IN PETERNEL, GOSTINSTVO IN STORITVE, D.O.O.",https://www.iskanjedela.si/search-jobs?jobId=2648391&STATE=Gorenjska,SAMOSTOJNA PRIPRAVA HRANE ,26.01.2021,Gorenjska,iskanjedela.si
ADMINISTRATOR SPLETNE TRGOVINE - M/Ž,16. 02. 2021,RADOVLJICA,LONTECH ogrevalna tehnika d.o.o.,https://www.iskanjedela.si/search-jobs?jobId=2648121&STATE=Gorenjska,UREJENE SPLETNE TRGOVINE WWW.LONTECH.SI IN OBDELAVA NAROČIL. ,26.01.2021,Gorenjska,iskanjedela.si
VOZNIK - M/Ž,03. 02. 2021,KRANJ,JAVNI PREVOZ STVARI S TOVORNIM MOTORNIM VOZILOM ILIĆ BRANE S.P.,https://www.iskanjedela.si/search-jobs?jobId=2648400&STATE=Gorenjska,NAKLADANJE IN RAZVOZ PEKOVSKIH IZDELKOV ,26.01.2021,Gorenjska,iskanjedela.si
SOBAR - M/Ž,25. 02. 2021,JESENICE,PENZION ROBIČ gostinstvo in turizem d.o.o.,https://www.iskanjedela.si/search-jobs?jobId=2648271&STATE=Gorenjska,ČIŠČENJE IN POSPRAVLJANJE APARTMAJEV IN OSTALIH PROSTOROV ,26.01.2021,Gorenjska,iskanjedela.si
