Title,Application_date,Place_of_work,Company,Url,Description,Date_of_announcement,Region,Site
Mesarji m/ž v Mercatorju,/,Slovenija,Mercator d.d.,https://www.mojedelo.com/mesarji-mz-v-mercatorju/d-515843,Mercator k sodelovanju vabi nove sodelavce za delo na delovnem mestu mesar.,10.2.2021,Zasavska,mojedelo.com
Sodelavci za direktno prodajo,/,"teren po Sloveniji, izhodišče domača regija","Kele & Kele d.o.o., Mlekarna Krepko",https://www.mojedelo.com/sodelavci-za-direktno-prodajo/d-517014,"Mlekarna Krepko-vodilni proizvajalec ekoloških mlečnih izdelkov v Sloveniji išče nove sodelavce za direktno prodajo ekoloških mlečnih in drugih pridelkov in izdelkov po gospodinjstvih. Iščemo kandidate iz vse Slovenije, vseh regij.",19.02.2021,Zasavska,mojedelo.com
Mesar (m/ž),/,Trbovlje,WORKFORCE d.o.o. ,https://www.mojedelo.com/mesar-mz/d-517019,"Naročnik je enanajvečjih gospodarskih skupin v Slovenijiter v celotniregiji Jugovzhodne Evrope. Je en izmed največjih delodajalcev v Sloveniji, ki v svojo ekipo sodelavcev vabi MESARJE(m/ž).",19.02.2021,Zasavska,mojedelo.com
Orodjar (m/ž),/,Hrastnik,STEKLARNA HRASTNIK d.o.o.,https://www.mojedelo.com/orodjar-mz/d-515235,"Kdo ste? Ste timsko usmerjeni, natančni, zanesljivi in vas zanima področje obdelovanja kovin?",19.02.2021,Zasavska,mojedelo.com
Vodja ključnih kupcev m/ž,/,"Podgrad, tujina",REFLEX Gornja Radgona d.o.o.,https://www.mojedelo.com/vodja-kljucnih-kupcev-mz/d-516931,"Kaj pričakujemo: samoiniciativnost, fleksibilnost, komunikativnost in odlične pogajalske sposobnosti, najmanj VII. stopnjo izobrazbe ekonomske oziroma tehnične smeri (GING), aktivno znanje enega tujega jezika ,...",18.02.2021,Zasavska,mojedelo.com
Področni vodja - m/ž,/,Celotna Slovenija (dodeljena regija),Metro trgovska družba d.d.,https://www.mojedelo.com/podrocni-vodja-mz/d-516930,"Osnovne naloge s katerimi se boste dnevno srečevali so aktivno delo z zaposlenimi v poslovnih enotah, organizacija in motiviranje zaposlenih ter sodelovanje pri pripravi kolekcij in akcij.",18.02.2021,Zasavska,mojedelo.com
Razvojni inženir za elektroniko HW (m/ž),/,Trbovlje,REKRUTER jkps d.o.o.,https://www.mojedelo.com/razvojni-inzenir-za-elektroniko-hw-mz/d-516856,"Za ugledno mednarodno podjetje, ki sodeluje z najbolj priznanimi naročniki znotraj avtomobilske in vesoljske industrije, iščemo strokovnjaka, ki bo deloval na področju razvoja elektronike (HW). ",18.02.2021,Zasavska,mojedelo.com
Operater peči (m/ž),/,Hrastnik,STEKLARNA HRASTNIK d.o.o.,https://www.mojedelo.com/operater-peci-mz/d-515236,"Skrbeli boste za nadzor nad delovanjem steklarskih peči, opravljali elektro vzdrževalna dela na objektih, strojih in napravah, upravljali postrojenja visoke in nizke napetosti in postrojenja na talilnih pečeh, izvajali preventivno elektro vzdrževa...",18.02.2021,Zasavska,mojedelo.com
Asfalter v DE Asfalterstvo (m/ž),/,delo na terenu (pretežno vzhodna Slovenija),Pomgrad d.d.,https://www.mojedelo.com/asfalter-v-de-asfalterstvo-mz/d-515127,"Pričakujemo: srednje poklicno izobraževanje ali nižje poklicno izobraževanje gradbene smeri ali NPK Asfalter ali priznana izobrazba glede na delovne izkušnje delavca, vozniški izpit B kategorije.",18.02.2021,Zasavska,mojedelo.com
Ročni brusilec - polirec (m/ž) v Zasavju,/,Zasavje,Trenkwalder d.o.o.,https://www.mojedelo.com/rocni-brusilec-polirec-mz-v-zasavju/d-504859,"Iščete stabilen in urejen delovni čas? Potem se čim prej prijavite na delovno mesto ročni brusilec – polirec. Delo boste opravljali v mednarodno priznanem kovinskem podjetju, ki proizvaja visokokakovostne izdelke.",18.02.2021,Zasavska,mojedelo.com
