Title,Application_date,Place_of_work,Company,Url,Description,Date_of_announcement,Region,Site
Skrbnik kupcev – prodajni inženir (m/ž),14.3.2021,Logatec,"PS, d.o.o., Logatec",https://www.optius.com/iskalci/prosta-delovna-mesta/skrbnik-kupcev-prodajni-inzenir-mz-754722-754722/,"Uspešno, razvojno podjetje avtomatizacije na ključ ter prodaje in vgradnje industrijskih komponent vabi v svoj kolektiv ekipnega igralca.",15.2.2021,Gorenjska,optius.com
Telefonski komercialist/izterjevalec (m/ž),14.3.2021,Ljubljana,Ternis d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/telefonski-komercialistizterjevalec-mz-754626-754626/,/,12.2.2021,Gorenjska,optius.com
Posebni svetovalec za ekonomske in finančne zadeve (m/ž) / Special Advisor for Economic and Financial Affairs (m/f),3.3.2021,Zagreb,Međunarodna komisija za sliv rijeke Save,https://www.optius.com/iskalci/prosta-delovna-mesta/posebni-svetovalec-za-ekonomske-in-financne-zadeve-mz-special-advisor-for-economic-and-financial-affairs-mf-754168-754168/,"MEDNARODNA KOMISIJA ZA SAVSKI BAZEN objavlja natečaj za mestoPosebni svetovalec za ekonomske in finančne zadevePogoji natečaja: delovno mesto je odprto za državljane Republike Slovenije. Delovno mesto je na sedežu Savske komisije - Zagreb, Republi...",10.2.2021,Gorenjska,optius.com
Konstrukter (m/ž),28.2.2021,Medvode,Brinox d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/konstrukter-mz-753379-753379/,/,2.2.2021,Gorenjska,optius.com
Razvijalec programske opreme (m/ž),1.3.2021,delo na sedežu podjetja (Volčja Draga) in v Ljubljani	,Spintec d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/razvijalec-programske-opreme-mz-753075-753075/,Delodajalec ponuja možnost kariernega razvoja v mednarodno uveljavljenem podjetju.,1.2.2021,Gorenjska,optius.com
Višji svetovalec področja I (m/ž) (št. A08-05),21.2.2021,Ljubljana,Agencija za komunikacijska omrežja in storitve Republike Slovenije,https://www.optius.com/iskalci/prosta-delovna-mesta/visji-svetovalec-podrocja-i-mz-st-a08-05-753024-753024/,"Agencija za komunikacijska omrežja in storitve Republike Slovenije vabi v svoje vrste STROKOVNJAKA NA PODROČJU REGULACIJE TRGA ŽELEZNIŠKIH STORITEV.Za naloge v Sektorju za regulacijo trga železniških storitev, iščemo timskega, pozitivno naravnaneg...",1.2.2021,Gorenjska,optius.com
Višji svetovalec področja I (m/ž) (št. A05-08),21.2.2021,Ljubljana,Agencija za komunikacijska omrežja in storitve Republike Slovenije,https://www.optius.com/iskalci/prosta-delovna-mesta/visji-svetovalec-podrocja-i-mz-st-a05-08-753022-753022/,"Agencija za komunikacijska omrežja in storitve Republike Slovenije vabi v svoje vrste STROKOVNJAKA NA PODROČJU MERITEV IN NADZORA RADIOFREKVENČNEGA SPEKTRA.Za naloge v Sektorju za meritve in nadzor radiofrekvenčnega spektra, iščemo timskega, pozit...",1.2.2021,Gorenjska,optius.com
Nabavni referent (m/ž),28.2.2021,Ljubljana,Europapier Alpe d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/nabavni-referent-mz-755388-755388/,"Podjetje Europapier Alpe d.o.o. je sinonim za zagotavljanje kakovosti, svetovanja in servisa na naslednjih poslovnih segmentih: Grafični papirji in kartoni, Embalažni papirji in kartoni, Kreativni in specialni papirji, Pisarniški papirji in kuvert...",18.2.2021,Gorenjska,optius.com
Kadrovik v oddelku obračuna plač m/ž,15.3.2021,Idrija,KOLEKTOR HOLDING d.d,https://www.optius.com/iskalci/prosta-delovna-mesta/kadrovik-v-oddelku-obracuna-plac-mz-755397-755397/,"Kolektor je razvojno in tržno usmerjen, inovativen, finančno stabilen ter poslovno uspešen koncern. Z reševanjem tehnoloških izzivov prihodnosti in iskanjem novih poslovnih priložnosti izpolnjuje pričakovanja lastnikov ter poslovnih partnerjev, za...",18.2.2021,Gorenjska,optius.com
Svetovalec za priključevanje uporabnikov (m/ž),5.3.2021,Kranj,"Elektro Gorenjska, d.d.",https://www.optius.com/iskalci/prosta-delovna-mesta/svetovalec-za-prikljucevanje-uporabnikov-mz-755378-755378/,"Smo uspešno, urejeno in družini prijazno podjetje, z dolgoletno tradicijo na področju distribucije električne energije. Iščemo priložnosti in nove poti. V našo sredino bomo zaposlili samostojnega in samoiniciativnega sodelavca, s katerim bomo tudi...",18.2.2021,Gorenjska,optius.com
