Title,Application_date,Place_of_work,Company,Url,Description,Date_of_announcement,Region,Site
Tržnik / skrbnik strank m/ž,/,Regija bivanja,"Zaposlitev.info, Miran Trupi s.p.",https://www.zaposlitev.info/delo/trznik-skrbnik-strankm-z/,"        Zaposlitev.info je že uveljavljen portal na slovenskem področju, ker pa bi radi naredili korak naprej v svoj kolektiv vabimo novega sodelavca/-ko na delovnem mestu Tržnik / skrbnik strank.Vaše naloge bodo obsegale: 	Kontaktiranje potenci",16.2.2021,Zasavska,zaposlitev.info
Voznik tovornega vozila-hladilnik,/,kjerkoli,O.T.I. ROSSI d.o.o.,https://www.zaposlitev.info/delo/voznik-tovornega-vozila-hladilnik-2/,"        V prijazno in urejeno okolje  vabimo osebo, ki bo opravljala prevoze s tovornimi vozili znamke Mercedes – hladilniki (temperaturno kontrolirana priklopna vozila).Delo obsega: 	Prevoz blaga s hladilnikom v domačem in mednarodnem cestnem pr",16.2.2021,Zasavska,zaposlitev.info
Samostojni monter klimatskih naprav,/,"Slovenija, Nemčija",MEŽNAR d.o.o.,https://www.zaposlitev.info/delo/samostojni-monter-klimatskih-naprav-2/,        SAMOSTOJNI MONTER KLIMATSKIH NAPRAV• montaža klimatskih naprav na vseh vrstah objektov• samostojnost pri delu• izpit B kategorije – terensko delo,15.2.2021,Zasavska,zaposlitev.info
Samostojni gradbeni delavec,/,"Slovenija, Nemčija",MEŽNAR d.o.o.,https://www.zaposlitev.info/delo/samostojni-gradbeni-delavec-3/,        SAMOSTOJNI GRADBENI DELAVECIzvaja vsa gradbena dela na gradbišču:• pripravlja material in pripomočke• izvaja pomožna tesarska dela• izvaja betonska dela• izvaja asfalterska dela in druga fizična dela• Upravlja oz. izvaja ,15.2.2021,Zasavska,zaposlitev.info
Ključavničar,/,"Slovenija, Nemčija",MEŽNAR d.o.o.,https://www.zaposlitev.info/delo/kljucavnicar-8/,"        KLJUČAVNIČARSodelovanje s projektnimi vodji•Samostojno opravljanje ključavničarskih del (rezanje, vrtanje, brušenje, krivljenje, varjenje, sestavljanje).•Montaža in demontaža delov naprav, polizdelkov in opreme.•Samostojno bran",15.2.2021,Zasavska,zaposlitev.info
"Monter vodja, Monter – (2 DELOVNI MESTI)",/,"Slovenija, Nemčija",MEŽNAR d.o.o.,https://www.zaposlitev.info/delo/monter-vodja-monter-2-delovni-mesti/,,15.2.2021,Zasavska,zaposlitev.info
Avtoklepar m/ž,/,Trbovlje,Ekoen avto d.o.o.,https://www.zaposlitev.info/delo/avtoklepar-m-z-5/,"        Ekoen avto d.o.o. se ukvarja z vzdrževanjem in popravilo športnih ter klasičnih vozil.Podjetje je bilo ustanovljeno leta 2007, svoj popolni fokus smo restavratorstvu starodobnikov dali leta 2016, ljubiteljsko smo pa se s tem ukvarjali že od l",10.2.2021,Zasavska,zaposlitev.info
Monter,/,Tujina,ES PROJEKT d.o.o.,https://www.zaposlitev.info/delo/monter-17/,        Ponujamo delo kulturnim in zanesljivim kandidatom / bodočim sodelavcem na področju: 	VODOVODA IN OGREVALNE TEHNIKENa delovno mesto bomo zaposlili 10 kandidatov.Delo je izključno v tujini ( pretežno Nemčija ).,09.2.2021,Zasavska,zaposlitev.info
Varnostnik - mobilno varovanje oz.  varnostnik - varovanje objektov m/ž,/,"LJUBLJANA Z OKOLICO, MARIBOR Z OKOLICO",PROTECT INFRA d.o.o.,https://www.zaposlitev.info/delo/varnostnik-mobilno-varovanje-oz-varnostnik-varovanje-objektov-m-z-2/,"        Družba za zasebno varovanje z več kot 35 letno tradicijo in jasnim pogledom v prihodnost…Poslovna politika in usmeritev družbe PROTECT Infra d.o.o. temelji na zaupanju in kakovosti, ki smo jo zasnovali kot široko mero konsenza med potrebnim",09.2.2021,Zasavska,zaposlitev.info
Vzdrževalec – elektro smer in strojna smer,/,Moravče,Termit d.d.,https://www.zaposlitev.info/delo/vzdrzevalec-elektro-smer-in-strojna-smer/,"        RAZPISUJE naslednja delovna mestaVzdrževalec – elektro smer in strojna smerK sodelovanju vabimo strokovno, motivirano in prilagodljivo osebo, ki je pripravljena in sposobna sprejemati nove izzive.Pričakujemo: 	Srednja poklicna izo",04.2.2021,Zasavska,zaposlitev.info
